title,reply
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,C 타입 때문에 존버하긴 했지만 막상 아이폰으로 바꿀 필요가 있나 싶을 정도로 갤럭시 환경도 좋네요.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,잇섭님이 단통법도 한번 터트려 줬으면 좋겠다 ㅠㅠ
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플이 진짜로 환경을 위한다면 전력 손실이 큰 무선 충전을 없애겠지
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"원래 애플이 Usb-c 컨소시엄 스타팅멤버였을걸요. 그래서 첨 라이트닝나왔을때, 곧 usbc가 나올거라는 얘기가 있었기에 (물론 이미 많이 일정이 지연중이었숩니다) 1년을 못참고 새 규격을 내나 하는 비판의견이 있었지만 그래도 대체로 환영하는 분위기였는데, 역시나 우려하는 의견대로 usbc가 나와도 라이트닝은 계속 사용이 되고.. 오히려 다른 악세사리한테까지 퍼지면서, 컴퓨터=usb-c, 악세사리=라이트닝이라는 이중구조를 확립하게 되죠. 당연히 이런점에서 usb-c를 목빠지게 기다리고 있던 애플은 발표되자마자 usb-c 단자 하나만 있는 맥북을 발표하게 되지만요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"최근에 나온 뉴스인데 EU에서 타입C 충전기에 애플 인증 장치를 달아야한다면 애플에 대한 판매를 승인하지않겠다고 그런 뉘양스를 보이네여...

앞으로 어떻게 될지 흥미진진합니다 . 15기다리는중인데 /ㅁ/"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,mfi씨타입이 적용되면 기존 라이트닝이랑 다를게 없고 유럽연합의 지침에도 어긋나는건데... 제발 루머로 끝나길 
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"C타입의 장점이 통일성, 범용성이긴한데 라이트닝을 너무 오래 유지해서 이미 라이트닝과 무선충전 생태계가 갖춰져 딱히 불편함 못느끼는 사용자들도 꽤 많을거라 이런분들은 좀 애매할거 같긴하네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,mfi면 오하려 소비자만 손해... 제조사들이 인증 게런티값을 소비자가에 반영해서 mfi 인증 제품만 프리미엄가격을 형성할 가능성이 매우 높음
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"C타입을 빠르게 적극적으로 도입한 맥북…타사는 A타입과 기타+C타입이었던거에 반해 맥북은 달랑 포트 1개로 결국 젠더, 허브, 독같은 주변기기 장사로 욕먹고
아이폰은 뒤늦게 이제야 도입하지만 MFI로 공통저인건 결국 이걸로 돈벌이 수단으로 전락(…)"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,이제 9월에 잇섭님이 또 소개해주실날 을 기다리며 ㅎㅎㅎc타입의 시대는 지금…ㅠㅠ그래더 여전히 궁금한 미래~~!!^_^
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,단자 통일되면 케이블장사 못하니 소프트웨어로 막아서 케이블장사 계속하겠다는 애플의 꺾이지 않는 마음
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"스마트폰이 필수가 된 세상에서 어린 애들이 첫 스마트폰을 선택할 때 애플이냐 갤럭시냐를 두고 고른다면 기능면에서는 어느 한 쪽이 월등히 앞지를만큼 차이가 크지 않기 때문에 디자인으로 결정이 나는데, os 자체가 다르기 때문에 한 번 쓰면 1-2년 이상 쓰는 생활필수품을 바꿀 때 전혀 다른 생태계로 넘어가기가 쉽지 않음. 고로 디자인이 그만큼 중요하다는 것."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플이 EU의 법 적용 시간에 딱 맞춰서 바꿀 수는 없을 것 같습니다 C타입이 탑재가 안된 기기는 판매가 불가능 하기 때문에 최신형이 나와도 이전 세대의 일부 모델을 같이 파는 애플 입장에선 이전 세대가  라이트닝 이면  EU에서 판매가 불가능 해지니까요 아마 요번 15부터 바꾸던가 아니면 늦어도 16부터는 바꿔야 한다고 봅니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,이게 이유가 사람들이 여러 케이블 쓰는게 비효율적이고 환경문제 때문에 하는건데 인증제도도 못하게 법으로 막아야지.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,C타입에 별 생각 없으면 그냥 지금 14프로 사는 게 낫나 싶기도 하고.. 모서리 약간 둥글어지는 것도 취향 아니고 정전식 말고 물리키가 더 좋아서 진짜 고민이네요ㅋㅋㅋ
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,충전속도만 제한되고 폰에 악영향만 없고 다른 기능을 제한하는게 아니라면 괜찮을듯...근데 왠지 기기에 악영향을 끼치게 할거같음..배터리 수명을 갉아먹게 한다던가..
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"iPhone에도 USB-C가 도입되면서 MFi 인증이 생기더라도 짜증나긴 하지만 기존보다는 나을 것 같습니다.
지금 케이블을 주렁주렁 들고 다니게 만드는 원흉이 라이트닝 단자인데 단자만 USB-C로 변경되어도 훨씬 더 들고 다니기 편해질 것 같네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,인증제품만 가능하게 한다면 그건 EU와 한번 해보자는 이야기가 되는데. EU가 호환성 때문에 C타입 단자 통일 법안을 만들었는데 저런 꼼수에 당할 정도로 법을 허술하게 했을까. 그렇다면 그 법을 보완 수정안하고 호갱마냥 당하고만 있을까 그게 관전포인트네요.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"이번에는 영상을 다 보고 댓글을 다는데 인트로에서 봤던 우려와는 다르게, 애플에서 MFi 인증으로 장난질 칠 걱정은 좀 덜 해도 될 것 같아서 다행
아이폰13프로 쓰고 있는데 올해 휴대폰 교체 계획은 없어서 휴대폰을 두고 고민한다면 내년 아이폰 16과 갤럭시 차세대 혹는 그 다음 세대 기종이겠지만 아이폰 16 모델들에서는 카툭튀가 많이 해결됐으면 좋겠네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"안드로이드 유저로서 애플 c타입 기다린 1인
Ap성능, 배터리 시간 불편함 때문에 갈아타고 싶었으나 애플이 한국에게 좋지 않은 환경 애플페이, 디스플레이, 작은화면 기타 등등 때문에 미뤄왔으나 이제 전부 해결되서 아이폰 기다린 보람이 있네요."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,USB-C에 MFI 인증 필수 루머가 제발 루머로 끝나길 바랍니다
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"C 타입 해킹 케이블 이슈로 MFi 인증은 어느 정도 좋은 선택이라고 보입니다만 정말 MFi 인증=보안을 위해서라면 볼보가 안전 관련 기능들 무료로 풀듯이 MFi 인증 비용 무료로 해주고, 케이블 가격을 낮출 수 있게 해주든지, MFi 비인증 케이블에 대한 데이터 통신 미지원 등의 제약에 대해서 사용자가 선택할 수 있게 해야 한다고 봅니다."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,환경 보호를 누구보다 주장하지만 케이블은 꼭 자사 정품을 고집하는 그 회사는 대체...
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"EU에서 Type-C 의무화를 시작으로 

WebKit 기반 브라우저만 앱스토어에 올릴 수 있는 것도 금지할 예정이고.. (Blink기반 브라우저가 더욱 월등함, 안드로이드의 거의 모든 브라우저는 블링크 기반

다른 앱스토어 및 외부 파일 설치제한도 금지할 거라고.. 계획 중이라고 카더라…"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,근데 정말 usb-c 가 아니어서 구매를 망설여질 만큼 중요한 요소인가 싶네요. 저도 usb-c로 바뀌었으면 좋겠지만
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,라이트닝도 인증 비인증 따져서. 좀더 단가가 있는 인증으로 사게 민들었는데 c타입도 당연히 그렇겠죠
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"환경 생각한다고 포장재도 바꾸고 충전기도 빼고 하면서 라이트닝 고집은 진짜 이상했지,,"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,잇섭형 놓친게 하나 있어 애플은 예전부터 type C에 대한 계획이 북미쪽에 이미 크게 계
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,알고싶었던 좋은 정보 감사해요… 아이폰 유저로서 너무 공감되기도 함🥹
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,안그래도 MFi 인증만으로 사용하려는 꼼수를 우려해서 그런가 그것도 금지하려는 법안을 유럽연합에서 논의한다고 들은거같은데 실제로 C타입으로 바꾸려는 이유가 일단은 환경관련이 가장큰데 저 인증제도로 인증된 케이블만 되면 제도가 의미가 없었으니깐요 그래서 아마 꼼수도 조만간 차단되지않을까하군요
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,수상할정도로 애플 마케팅을 잘 아는 유튜버
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,자동차 공조버튼이랑 핸드폰 볼륨버튼은 무조건 물리버튼이 더 편하다고 봅니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플에게 수수료 내고 인증을 받은 정품 c타입 케이블만 쓸수 있게 한다면 애플 사용자들은 야금야금 반감을 가질꺼고 브랜드 충성도는 와르르 무너지게 되지 않을까 싶은데.. 갤럭시 사용자로서 그런 미래를 기다려봅니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,폰 살 때 선을 준다는 가정하에 폰을 바꿀 때 까지 망가지지만 않는다면 어뎁터는 아무거나 사도 상관없으니 괜찮긴할텐데 폰 살 때 선 안주기 시작하면 답도 없을 듯
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,좋은 정보 리뷰 잘보고 갑니다  
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,솔직히 애플이 이렇게 하는건 소비자 탓이긴 함. 안사주면 바뀌기라도 할텐데 뭔짓을 해도 사주니까 애플이 굳이 소비자 눈치를 안보지
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플이 부속품 이익이 전체의 10% 넘어가니 그걸 포기하기 어려워 같은 C타입이지만 충전만 서로 가능하고 애플 C타입케이블로 데이터 전송은 불가하게 만들 가능성이 매우 농후하지.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,충전기 역사 설명하는것도 재밌을듯
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"애플이 처음에 자기들만의 전용 하드웨어나 소프트웨어로 욕을 먹긴 했지만 발전해오면서 최적화가 미쳤다는걸 알수있었고, 저도 이제 아이폰 입문하여 써보니 램이 4g밖에 안되는 아이폰12미니를 쓰는데도 아직 버벅임 없이 잘 쓰고있습니다(게임 제외하고) 
지구의 환경문제도 중요하지만 요새 환경걱정하시는분들보시면 너무 과하던가 이유가 전혀 이상하고, 근거가 부족하고 등 '환경카르텔' 이라고 욕먹을만큼 그닥 시선이 좋지 못하죠."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,국회에서 C타입 충전규격과 호환성에 관한 법률을 제정해 MFI 방식을 막아야합니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"충전기 삽입감은 애플 케이블이 넘사긴한데 아쉽네, 30핀의 걸쇠 느낌도 구질구질한 마이크로 B 보다 훨씬 좋고, 라이트닝도 모서리가 둥글어서 대충 가져다대면 부드럽게 잘 들어가는데 C는 앞 부분이 평평하게 잘린 모양이라서 딱 맞춰야 들어가기 때문에 C 들어가는 건 아쉬움 그런데 하나의 충전기로 아이패드랑 같이 사용하니까 케이블을 계속 바꿔야 하는 건 귀찮긴 함, 충전기 여러 개 들고 다니는 문제는 전자기기가 여러 개면 충전할 때 어차피 같은 케이블이라도 여러 개 들고 다녀야 하니까 같음
MFI 도입은 믿을 수 있는 브랜드를 쉽게 찾을 수 있는 방법이라서 찬성함"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,솔찍히 디자인만 보는 사람입장에서 둥근게 싫어서 아이폰 쓰는데.. 각진게 진짜 깔끔하고 모던해보여서 좋았는데 아쉽다.. 각진게 화면이 더 꽉차보임. 둥근건 뭔가 드스플레이 면적을 제외한 정면 시야에 보이는 면적이 넓어보여서 뭔가.. 불편?.. 16 존버 간다…
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"환경문제는 쓰레기만 중요한게 아니라 전자제품을 생산하고 유지하고 폐기처리하는 과정에서 소비되는 에너지가 탄소배출을 굉장히 많~이 야기하기 때문입니다. 전자제품은 다른 제품에 비해 탄소를 훨씬 많이 배출하게 되는 부류입니다. 요새 기후변화니, 대기중 이산화탄소 농도니 하는 말들 있죠? 전자제품은 특히 규격 통일화가 필요합니다."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,Xs 진짜 버티고버텼는데..존버의 성과가 있길 기원해봅니다..
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,환경보호를 그렇게나 신경쓴다는 기업이 케이블에다 저러면 뭐라고 해야 하나요?
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플 페이 국내 출시부터 아이폰 15 c타입 포트 번경 소식까지 애플에 대한 좋은 일이 맣은 것 같습니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"예측 가능한 수준의 키노트라고는 하지만, 한 명도 오롯히 맞히는 사람이 없는.
그러면서도 다들 자기 말이 맞았다고 주장하는 그 애플의 키노트...
c로 바뀌는 순간 라이트닝 충전 케이블이며, 악세사리며 다 새로 장만해야 해요."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"솔직히 굳이 기존 애플 정품 썬더볼트 케이블까지 통수치면서 명분이 없는 mfi 장사를 할 것 같지는 않고 한다 해도 기존 애플 정품 썬더볼트 케이블들이 호환되는 방향으로 가지 않을까 싶네요
애초에 mfi 장사를 시작한 명분이 미인증 케이블들로 인한 전기 관련 사고들 때문이었는데 지금 애플 정품 케이블이 미호환되는 순간 너무 잃는 게 많음
양심없는 장사치긴 하지만 항상 그럴듯한 명분은 챙겨 왔으니 가능성은 많이 낮아 보여요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,미인증이라고 사용에 제한을 둔다면 EU에서 말한 환경보호라는 대의명분이 너무 충족되지가 않겠는데요
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,잇섭님 영상 보는 이유가 바로 이 영상에서 제대로 들어나네요
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"이제 혁신은 사라지는 건가요? 그나마 기업 자율에 맡겨서 나온 썬더볼트, 라이트닝이 영향력을 발휘해서 조잡스러운 충전단자가 C타입까지 온 것인데…
이런 관점에서도 생각해 봐야 할 문제일 것 같아요.. 표준을 정하는 사람들이 혁신하는 게 아니니까요."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,측면 버튼을 매직마우스처럼 물리적인 버튼이지만 누르는 위치를 구분하는 방식으로 만들 수 있지도 않을까요?
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"이제는 
케이블도 충전과 데이터전송이 가능한 
제품만 써야겠네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,진짜 저럴꺼면 환경 생각 따윈 없다는게 맞겠네요.. 단순하게 EU법만 회피하는 용도로 C타입 탑재만 한거겠죠..
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플 저런 생각을 한다는게 놀랍다 ㄹㅇ
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"C타입 아무거나 호환 안되면 이제 아이폰 안 쓰는거지 뭐 이번 갤럭시 23 보니까 성능 이제 다 따라잡은거 같고 정상적이고 배터리도 엄청 좋더만 아이폰 5s부터 14까지 써왔지만 이제 아이패드도 아이폰도 갤럭시로 갈아탈때가 오는거 같음
특히나 한국에서 이벤트든 일할때든 갤럭시 이점이 너무 많어"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"내생각엔 eu압박때매  충전속도나 데이터 전송속도는 제한은 못할거같고...
mfi 미인증 케이블을 꼽으면  세레모니가 안뜨는 방식으로 할듯
만약 mfi 인증 케이블에서만 감성쩌는 세레모니가 나온다면, 우리 앱등이들은  정품을 안살수가 없자나 "
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,드디어 아이폰15에 c타입을 넣어주다니 너무 감사하네요  지금14프로 너무잘쓰고있는데 15나오면 갈아타야겠네요
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,정전식 버튼 넣을거면 지문인식도 넣어줬으면 좋겠네
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,음 저런 꼼수를 부리면 유럽이 가만히 당하진않을듯....  초강수로 일단 판매 막고 애플스토어 영업중지 까지들어간다면?
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"모든 기기가 c타입으로 바뀌는 상황에서 전원 어댑터는 기기에 상관없이 가장 전력이 높은 거 하나만 써도 모든 기기에 무리가 없는 걸까요? 고속 충전만 제한이 걸리는 건지 아니면 작은 기기(에어팟, 디카) 등은 작은 전력의 어댑터를 사용해야하는 건지 궁금합니다 ㅠ"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,제조사 제한 칩 탑제를 불법화 시켜야함
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"C타입의 최고 장점은 방향 상관없는 것도 있지만 내구성 좋아진 거일 듯
5핀 개복치.."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,애플이 c타입으로 바꾸면서 MFI 미인증 케이블 불이익 주는거도 EU에서 막는다고 합니다
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"디지털 미디어의 강자인 SONY도 자체규격을 고집하기로 역사가 깊지만, 저렴한 서드파티 호환품을 충분히 사용할 수 있고 애플 매직 키보드처럼 터무니 없는 가격으로 팔지는 않는다."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"당연히 그렇다면...유럽연합이 제제를 하겠죠.
라이트닝 이랑 차이가 없으니..의미가 없죠."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,제발 C 들어왔으면... 쿡형 믿는다ㄷㄷ
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"인증케이블 정도면 애플치곤 양반이란 생각이 들기도 한다는 게 코메디. 아이폰은 단자 아예 없애버리고, c타입 단자 달린 고속 충전기 맥세이프를 따로 내지 않을까 하는 농담에 마냥 웃을 순 없었을 정도니.....ㅋㅋㅋ"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"잇섭형 애플 마케팅팀 출신이었구나...
애플 수법 겁나 잘아네 ㅋㅋㅋ"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"6:30 예상: ”환경을 위해 단자를 USB-C로 변경하였으며, 환경을 위해 케이블을 제공하지 않습니다. 애플은 환경 보호와 소비자 경험을 고려해서 USB-C 케이블을 인증합니다. 아이폰에는 이러한 인증된 케이블에서는 고속충전과 고속 데이터 전송이 가능합니다. 인증되지 않은 케이블을 사용할 경우 소비자와 환경을 보호하기 위해 전력과 데이터 속도를 제한합니다.”"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"특히 스마트폰에 있어서는 충전방식이 결국에는 무선 충전으로 넘어갈 것입니다. 애플을 뒤섞이게 하고 싶지 않은 것 같습니다. 라이트닝 - USBC - 무선....
사실 저부터도 아직까지 충전이나 데이터 전송때문에 케이블을 쓴적이 없어요. 아이폰 쓰면서 케이블을 쓰지 않은지 2년이 다되어갑니다."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"저도 se2 구 기종(+아이패드 에어) 쓰다가.. 15로 넘어갈생각입니다만.. 여태 이용하면서 불편하다고 생각은 안들었는데
새 휴대폰은 제발... c타입이었으면 좋겠네요.. 애플덕분에 집에 케이블이 너무 많아서 지저분해져요..."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,삼성케이블도 인증칩은 들어갑니다. 최소한의 성능보장은 물론이거니와 보안 때문에라도 넣죠.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,햅틱터치의 단점으로 물묻은손(땀)으로 폰을 집었을때의 오동작 때문에 측면 버튼에 햅틱터치 적용은 좀 불편할듯...
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"c 케이블에서도 MFI 인증을 붙일거라는 루머는 별 근거가 없는게, 라이트닝에서는 액세서리 id를 식별할 때 hydra라는 하드웨어 솔루션을 씀. 그리고 보안을 위해 아날로그 통신을 할 때는 무조건 mfi 인증을 거쳐서 인증된 액세서리만 커넥션이 열리게 짜 놓음. 근데 usb-pd에는 이미 e-marker라는 소프트웨어 솔루션이 있어서 딱히 자체 인증을 붙일 여지가 적음.

물론 usb-c가 워낙에 아날로그 스펙이 허접해서 뭔가 확장 규격을 도입할 수는 있긴 함. 그런데 라이트닝이랑 같은 하드웨어 방식은 아닐거임."
